country,country_short,region_wb,pop_log,obesity_m,obesity_f,overw_m,overw_f,BMI_m,BMI_f,flex,indiv,yr_sch_m,yr_sch_f,globaliz,uneven_eco_dev,gdppc_ln,undernourish,rice,mcdonalds,temp_avg,wgi_avg,share_animal_prot,vegies_fruits,hf_efiscore,wdi_emp_agr_m,wdi_emp_ind_m,wdi_emp_ser_m,wdi_emp_agr_f,wdi_emp_ind_f,wdi_emp_ser_f,healthexp_perc_gdp,wdi_popurb_share,wdi_smok_m,wdi_smok_f,indiv_welzel,self_expr_val,emancip_val,autonomy,indiv_hofstd
South Korea,KOR,East Asia and Pacific,17.74762922618088,4.3,4.7,33.5,26.2,24.3,23.1,174.00083895666566,25,12.9,11.4,78,3.5,10.542917450590085,1,123.72000122070312,0.87,11.5,0.7016666666666667,5.53449010848999,274.4499931335449,69.80000305175781,6.400000095367432,20.200000762939453,73.4000015258789,6.900000095367432,12.5,80.5999984741211,6.65271664,0.829329990013432,NA,NA,35,-0.403333333,0.4245751650783615,0.1599999999999997,18
Romania,ROU,Europe and Central Asia,16.801980871683394,22.7,21.3,63.6,50.7,26.8,26.7,-64.22501880303932,-19,11.3,10.5,80,4.7,9.981882749963502,1,4.71999979019165,0.36,8.8,0.24833333333333332,5.623589992523193,273.5899963378906,64.69999694824219,29.100000381469727,35.5,35.400001525878906,31.399999618530273,20.200000762939453,48.5,4.94264841,0.5279199670941763,38,18,34.7,-1.006666667,0.40348069795257346,0.25000000000000044,30
Russia,RUS,Europe and Central Asia,18.78599633970678,17.6,26.7,57.6,55.5,25.8,26.5,48.08726638323886,-21,11.9,11.7,72,6.4,10.089344519064321,1,8.010000228881836,0.44,-5.1,-0.7583333333333333,6.686110019683838,175.11000061035156,50.5,10.5,38.400001525878906,51.099998474121094,6.699999809265137,19.100000381469727,74.19999694824219,5.29560423,0.7365200253682532,59,25,39.2,-0.803333333,0.3754347855824258,0.09499999999999975,39
Singapore,SGP,East Asia and Pacific,15.526602485461757,5.6,6.3,35.8,27.3,24.2,23,88.95678497030471,-29,12.1,11,82,4,11.373376000020142,1,NA,2.4,26.45,1.5916666666666666,NA,NA,87.19999694824219,1.5,25.700000762939453,72.80000305175781,0.6000000238418579,16.600000381469727,82.80000305175781,4.18069839,1,NA,NA,30.1,-0.12,0.41268974800496916,-0.41999999999999993,20
South Africa,ZAF,Sub-Saharan Africa,17.82984407451159,14.8,39,39.6,64.9,24.9,29.3,-125.8112098931145,-105,10.4,9.9,71,7.4,9.437635294412868,5.2,25.09000015258789,0.44,17.75,0.18833333333333335,4.81535005569458,70.11000061035156,62.70000076293945,5.699999809265137,33,57.70000076293945,3.799999952316284,13.300000190734863,67.30000305175781,8.20090294,0.6154600184660015,28,8,23.3,0.06,0.4006445935792021,-0.3650000000000002,NA
Spain,ESP,Europe and Central Asia,17.653775757615602,24.1,22.5,68.5,53.8,27,24.9,2.1588143677199803,58,9.9,9.6,85,4,10.460585888632798,1,11.680000305175781,1.1,13.3,0.8116666666666666,8.21045970916748,211.97000122070312,70.19999694824219,5.699999809265137,33.900001525878906,60.400001525878906,2.5,9.5,88,9.12686825,0.7728399934594181,33,27,50.1,1.136666667,0.5010667383122435,1.02,51
Sweden,SWE,Europe and Central Asia,16.097809878966537,22.5,17.8,63.7,48.1,26.7,25.3,20.556191363139682,133,12.3,12.5,90,1.8,10.801940126280403,1,6.139999866485596,2,2.1,1.7133333333333334,8.912240028381348,156.75,71.9000015258789,3.0999999046325684,30.799999237060547,65.9000015258789,1,7.599999904632568,91.19999694824219,10.79714203,0.8505600159349533,25,24,100,2.983333333,0.6397908142198316,1.545,71
Switzerland,CHE,Europe and Central Asia,15.929642856482122,21.7,16.6,62.2,45.6,26.6,23.7,-20.979307974281163,105,13.9,13,91,2.7,11.065684782829349,1,2.6500000953674316,2,5.5,1.7883333333333333,7.050429821014404,175.0199966430664,81.9000015258789,4,30.399999618530273,61.400001525878906,2.4000000953674316,10.100000381469727,82.19999694824219,11.36931515,0.7363799374535858,31,22,67.2,2.16,0.5610131804616636,1.1100000000000003,68
Thailand,THA,East Asia and Pacific,18.045471074019353,6.5,12.1,28.1,34.7,23.8,24.9,87.14506224317168,-121,7.8,7.4,71,5.8,9.669156655581341,7.3,179.52999877929687,0.35,26.3,-0.32666666666666666,3.5703999996185303,129.3400001525879,64.69999694824219,40.099998474121094,22.700000762939453,37.099998474121094,36,18.200000762939453,45.70000076293945,3.66789317,0.3372999821271294,46,3,20.8,-0.06,0.3692881251284938,-0.19499999999999984,20
Turkey,TUR,Europe and Central Asia,18.178983800472746,23.6,38.6,63.3,68.8,27,28.6,-51.86004989955101,-18,8.8,7.1,72,6.2,10.151362740069521,1,14.989999771118164,0.31,11.1,-0.27166666666666667,3.9190499782562256,356.47999572753906,64.19999694824219,17.5,30.299999237060547,52.20000076293945,39.29999923706055,15.899999618530273,44.79999923706055,4.11690378,0.7048700188628545,42,13,19,-0.826666667,0.3668559170442024,0.14000000000000012,37
Ukraine,UKR,Europe and Central Asia,17.625590224751296,21.5,25.5,60.8,55.3,26.8,26.2,18.583997594280792,14,11.3,11.3,74,4.7,9.226607344440055,1,4.389999866485596,0.19,8.3,-0.825,5.500319957733154,232.42000198364258,45.79999923706055,NA,NA,NA,NA,NA,NA,7.77607775,0.6868499935688794,49,14,36.3,-0.956666667,0.37964578160448303,-0.14500000000000002,NA
United Kingdom,GBR,Europe and Central Asia,17.99168421593358,26.2,28.1,68.1,58.4,27.3,27,56.493023828601295,93,12.9,12.7,89,3.7,10.657682794661007,1,7.550000190734863,1.9,8.45,1.5150000000000001,6.808410167694092,171.91000366210937,74.5,1.7000000476837158,29.299999237060547,68.19999694824219,0.6000000238418579,7.400000095367432,91.30000305175781,9.9043521899999991,0.7950800176987687,22,22,56.6,2.04,0.4948605282655494,1.0999999999999996,89
United States,USA,North America,19.58613824754317,34.7,36.4,72.3,62.6,28.8,28.8,11.241567790242414,33,13.3,13.4,82,4.8,10.947696452324852,1,10.8100004196167,4.3,8.55,1.2516666666666667,7.580659866333008,207.5800018310547,77.80000305175781,2.299999952316284,25.100000381469727,71.69999694824219,0.800000011920929,7.199999809265137,91.9000015258789,16.71075249,0.8214299569283227,NA,NA,52.6,1.386666667,0.5139749010826973,0.3600000000000003,91
Venezuela,VEN,Latin America and Caribbean,17.219431793233348,22,28.3,62.4,63.5,26.6,26.7,-207.3192501038846,-95,9.8,10.4,53,6.7,9.771497828073176,11.3,36.95000076293945,0.42,25.35,-1.4316666666666666,5.795519828796387,140.81999588012695,37.599998474121094,13.100000381469727,29,57.5,1.7999999523162842,11,86.9000015258789,5.79743814,0.9331399300437238,NA,NA,12.4,NA,0.4055585546109338,0.10999999999999988,12
Vietnam,VNM,East Asia and Pacific,18.344631772354333,1.5,2.4,15.1,19.9,21.8,21.7,-1.0836925426626256,-78,8.2,7.8,64,5.5,8.716535732544495,8.1,217.19000244140625,0.018,24.45,-0.4116666666666667,4.524590015411377,229.52999877929687,51.599998474121094,45.29999923706055,25.200000762939453,29.399999618530273,49.5,16.799999237060547,33.70000076293945,5.65262079,0.3039300286511962,46,2,17.9,0.295,0.35037306136425833,NA,20
